sec_id,ticker,name,query_term,entity_name,file_date,headline,source_url,form_type,event_text,event_type
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,Zurn Elkay Water Solutions Corp  (ZWS)  (CIK 0001439288),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Zurn Elkay Water Solutions Corp  (ZWS)  (CIK 0001439288)  1.01 2.03 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-20,CHOICE HOTELS INTERNATIONAL INC /DE  (CHH)  (CIK 0001046311),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, CHOICE HOTELS INTERNATIONAL INC /DE  (CHH)  (CIK 0001046311)  5.02,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-20,ENTERGY CORP /DE/  (ETR)  (CIK 0000065984),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, ENTERGY CORP /DE/  (ETR)  (CIK 0000065984)  8.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-20,ICU MEDICAL INC/DE  (ICUI)  (CIK 0000883984),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, ICU MEDICAL INC/DE  (ICUI)  (CIK 0000883984)  5.02 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-20,"Proem Acquisition Corp. I  (PAAC, PAACU)  (CIK 0002087446)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Proem Acquisition Corp. I  (PAAC, PAACU)  (CIK 0002087446)  1.01 9.01",merger
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-20,"Quarta-Rad, Inc.  (QURT)  (CIK 0001549631)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Quarta-Rad, Inc.  (QURT)  (CIK 0001549631)  7.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-20,"XFLH Capital Corp  (XFLH, XFLH-UN)  (CIK 0002088103)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," XFLH Capital Corp  (XFLH, XFLH-UN)  (CIK 0002088103)  8.01 9.01",other
36574,XOM,Exxon Mobil Corp.,XOM,Exxon Mobil Corp.,2026-02-20,EXXON MOBIL CORP  (XOM)  (CIK 0000034088),https://efts.sec.gov/LATEST/search-index?q=%22XOM%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, EXXON MOBIL CORP  (XOM)  (CIK 0000034088)  5.02,other
36672,FDX,Fedex Corp,Fedex,Fedex Corp,2026-02-20,"VIP Play, Inc.  (VIPZ)  (CIK 0001832161)",https://efts.sec.gov/LATEST/search-index?q=%22Fedex%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," VIP Play, Inc.  (VIPZ)  (CIK 0001832161)  2.03 5.02 9.01",other
43205,TGT,Target Corp,TGT,Target Corp,2026-02-20,Benchmark 2026-V20 Mortgage Trust  (CIK 0002106400),https://efts.sec.gov/LATEST/search-index?q=%22TGT%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Benchmark 2026-V20 Mortgage Trust  (CIK 0002106400)  9.01,other
3752951,MOAT,VanEck Morningstar Wide Moat ETF,MOAT,VanEck Morningstar Wide Moat ETF,2026-02-20,LCI INDUSTRIES  (LCII)  (CIK 0000763744),https://efts.sec.gov/LATEST/search-index?q=%22MOAT%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, LCI INDUSTRIES  (LCII)  (CIK 0000763744)  7.01 9.01,other
3752951,MOAT,VanEck Morningstar Wide Moat ETF,MOAT,VanEck Morningstar Wide Moat ETF,2026-02-20,"Rimini Street, Inc.  (RMNI)  (CIK 0001635282)",https://efts.sec.gov/LATEST/search-index?q=%22MOAT%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Rimini Street, Inc.  (RMNI)  (CIK 0001635282)  7.01 9.01",other
8126151,PSA,Public Storage,PSA,Public Storage,2026-02-20,Benchmark 2026-V20 Mortgage Trust  (CIK 0002106400),https://efts.sec.gov/LATEST/search-index?q=%22PSA%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Benchmark 2026-V20 Mortgage Trust  (CIK 0002106400)  9.01,other
